rep_i,result_name,c_reward,crashed,landed,mean_landing_time,mean_fuel_consumption
0,Heuristic,500.99,0.1,98.4,171.59,24.66
0,Pretrained,504.71,0.0,99.5,171.25,24.69
0,RL epoch 1,270.76,0.0,0.0,,34.38
0,RL epoch 2,260.35,0.0,0.0,,34.45
0,RL epoch 3,264.64,0.0,0.0,,34.52
0,RL epoch 4,532.73,0.5,97.5,167.11,24.06
0,RL epoch 5,574.35,0.5,95.5,161.32,22.63
4,Heuristic,501.39,0.0,97.1,171.11,24.67
4,Pretrained,494.09,0.0,96.0,171.96,24.71
4,RL epoch 1,525.75,0.0,97.5,168.1,24.18
4,RL epoch 2,524.11,0.0,93.0,166.92,23.62
4,RL epoch 3,539.6,0.0,92.5,165.02,23.02
4,RL epoch 4,572.74,0.5,93.5,161.31,21.7
4,RL epoch 5,594.41,2.5,89.0,158.05,19.62
5,Heuristic,502.8,0.2,97.1,170.87,24.59
5,Pretrained,504.33,0.5,99.0,171.25,24.65
5,RL epoch 1,450.67,0.0,93.5,176.83,26.17
5,RL epoch 2,473.03,0.5,95.5,174.57,25.31
5,RL epoch 3,562.24,0.0,99.5,164.09,23.14
5,RL epoch 4,593.15,0.5,97.0,159.52,21.85
5,RL epoch 5,619.83,1.0,95.0,155.88,20.68
6,Heuristic,504.62,0.2,97.9,170.92,24.59
6,Pretrained,523.08,0.5,99.5,169.11,24.36
6,RL epoch 1,606.78,1.0,98.0,158.64,21.41
6,RL epoch 2,604.0,0.5,98.0,158.28,22.0
6,RL epoch 3,608.14,0.0,99.0,158.48,21.27
6,RL epoch 4,604.06,0.5,98.0,158.9,21.44
6,RL epoch 5,609.76,0.5,98.0,158.1,21.34
7,Heuristic,499.97,0.0,97.7,171.51,24.64
7,Pretrained,506.51,0.0,97.5,170.65,24.68
7,RL epoch 1,609.66,1.0,98.0,158.35,20.89
7,RL epoch 2,621.52,1.0,95.5,156.76,19.38
7,RL epoch 3,597.74,0.5,97.5,159.48,21.26
7,RL epoch 4,584.68,0.5,98.5,161.29,22.3
7,RL epoch 5,581.01,0.0,99.5,161.93,22.27
