,rep_i,result_name,c_reward,crashed,landed,mean_landing_time,mean_fuel_consumption
0,0,Heuristic,500.99,0.1,98.4,171.59,24.66
1,0,Pretrained,504.71,0.0,99.5,171.25,24.69
2,0,RL epoch 1,270.76,0.0,0.0,,34.38
3,0,RL epoch 2,260.35,0.0,0.0,,34.45
4,0,RL epoch 3,264.64,0.0,0.0,,34.52
5,0,RL epoch 4,532.73,0.5,97.5,167.11,24.06
6,0,RL epoch 5,574.35,0.5,95.5,161.32,22.63
7,1,Heuristic,497.16,0.2,96.6,171.62,24.62
8,1,Pretrained,518.7,0.5,97.5,168.93,24.37
9,1,RL epoch 1,414.43,0.0,92.0,181.38,26.85
10,1,RL epoch 2,506.2,0.0,97.5,170.63,24.69
11,1,RL epoch 3,579.3,0.0,95.5,160.77,22.26
12,1,RL epoch 4,494.89,0.0,96.5,171.75,25.24
13,1,RL epoch 5,391.35,0.0,87.0,183.66,27.57
14,2,Heuristic,505.54,0.0,98.5,171.01,24.6
15,2,Pretrained,488.43,0.0,97.5,173.14,24.74
16,2,RL epoch 1,393.64,0.0,90.0,183.83,27.64
17,2,RL epoch 2,332.11,0.0,61.0,189.06,29.92
18,2,RL epoch 3,420.81,0.0,93.5,180.63,27.0
19,2,RL epoch 4,555.55,0.0,98.0,164.62,23.37
20,2,RL epoch 5,493.0,0.0,97.0,172.06,24.94
21,3,Heuristic,507.34,0.2,98.3,170.69,24.58
22,3,Pretrained,514.18,0.0,99.0,169.96,24.56
23,3,RL epoch 1,526.11,0.0,98.5,168.42,24.29
24,3,RL epoch 2,504.26,0.5,97.0,170.65,24.65
25,3,RL epoch 3,331.15,0.0,65.5,189.35,29.42
26,3,RL epoch 4,284.89,0.0,18.0,194.42,32.1
27,3,RL epoch 5,331.65,0.0,62.0,188.83,29.63
28,4,Heuristic,501.39,0.0,97.1,171.11,24.67
29,4,Pretrained,494.09,0.0,96.0,171.96,24.71
30,4,RL epoch 1,525.75,0.0,97.5,168.1,24.18
31,4,RL epoch 2,524.11,0.0,93.0,166.92,23.62
32,4,RL epoch 3,539.6,0.0,92.5,165.02,23.02
33,4,RL epoch 4,572.74,0.5,93.5,161.31,21.7
34,4,RL epoch 5,594.41,2.5,89.0,158.05,19.62
35,5,Heuristic,502.8,0.2,97.1,170.87,24.59
36,5,Pretrained,504.33,0.5,99.0,171.25,24.65
37,5,RL epoch 1,450.67,0.0,93.5,176.83,26.17
38,5,RL epoch 2,473.03,0.5,95.5,174.57,25.31
39,5,RL epoch 3,562.24,0.0,99.5,164.09,23.14
40,5,RL epoch 4,593.15,0.5,97.0,159.52,21.85
41,5,RL epoch 5,619.83,1.0,95.0,155.88,20.68
42,6,Heuristic,504.62,0.2,97.9,170.92,24.59
43,6,Pretrained,523.08,0.5,99.5,169.11,24.36
44,6,RL epoch 1,606.78,1.0,98.0,158.64,21.41
45,6,RL epoch 2,604.0,0.5,98.0,158.28,22.0
46,6,RL epoch 3,608.14,0.0,99.0,158.48,21.27
47,6,RL epoch 4,604.06,0.5,98.0,158.9,21.44
48,6,RL epoch 5,609.76,0.5,98.0,158.1,21.34
49,7,Heuristic,499.97,0.0,97.7,171.51,24.64
50,7,Pretrained,506.51,0.0,97.5,170.65,24.68
51,7,RL epoch 1,609.66,1.0,98.0,158.35,20.89
52,7,RL epoch 2,621.52,1.0,95.5,156.76,19.38
53,7,RL epoch 3,597.74,0.5,97.5,159.48,21.26
54,7,RL epoch 4,584.68,0.5,98.5,161.29,22.3
55,7,RL epoch 5,581.01,0.0,99.5,161.93,22.27
56,8,Heuristic,503.2,0.0,98.8,171.39,24.64
57,8,Pretrained,492.98,0.0,97.0,172.23,25.06
58,8,RL epoch 1,349.62,0.0,68.0,186.65,29.01
59,8,RL epoch 2,335.94,0.0,65.5,188.67,29.15
60,8,RL epoch 3,308.25,0.0,37.0,190.46,30.96
61,8,RL epoch 4,318.21,0.0,46.5,189.13,30.03
62,8,RL epoch 5,292.77,0.0,26.0,190.87,31.36
63,9,Heuristic,497.16,0.2,96.7,171.6,24.66
64,9,Pretrained,504.88,0.0,98.5,171.07,24.9
65,9,RL epoch 1,407.16,0.0,91.5,181.99,27.22
66,9,RL epoch 2,287.12,0.0,20.0,194.15,31.97
67,9,RL epoch 3,306.28,0.0,39.5,191.61,30.84
68,9,RL epoch 4,317.65,0.5,57.0,191.06,30.21
69,9,RL epoch 5,333.51,0.0,61.5,188.97,29.73
